id,season,week,completed,home_team,home_classification,home_points,away_team,away_classification,away_points,result,winner,mean_spread,home_moneyline,away_moneyline,proj_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
401864432,2026,1,true,Nevada,fbs,49,Western Kentucky,fbs,14,-35,Nevada,1.5,-108,-112,9.842859878416569,44.84285987841657,36.5,2010.8820820753024,1332.25,0,0,0,0
401864432,2026,1,true,Nevada,fbs,49,Western Kentucky,fbs,14,-35,Nevada,-1.0,120,-140,9.842859878416569,44.84285987841657,34.0,2010.8820820753024,1156.0,0,1,0,0
401864432,2026,1,true,Nevada,fbs,49,Western Kentucky,fbs,14,-35,Nevada,1.5,,,9.842859878416569,44.84285987841657,36.5,2010.8820820753024,1332.25,0,0,0,0
401858437,2026,1,true,Washington,fbs,24,Washington State,fbs,10,-14,Washington,-23.5,-2800,1300,-30.927550717883804,16.927550717883804,9.5,286.54197330652846,90.25,1,1,0,0
401858437,2026,1,true,Washington,fbs,24,Washington State,fbs,10,-14,Washington,-23.0,-2200,1000,-30.927550717883804,16.927550717883804,9.0,286.54197330652846,81.0,1,1,0,0
401858437,2026,1,true,Washington,fbs,24,Washington State,fbs,10,-14,Washington,-23.5,,,-30.927550717883804,16.927550717883804,9.5,286.54197330652846,90.25,1,1,0,0
401858438,2026,1,true,Notre Dame,fbs,41,Wisconsin,fbs,13,-28,Notre Dame,-20.5,-2500,1000,-36.82175308982302,8.82175308982302,7.5,77.82332757780199,56.25,1,1,1,0
401858438,2026,1,true,Notre Dame,fbs,41,Wisconsin,fbs,13,-28,Notre Dame,-21.0,,,-36.82175308982302,8.82175308982302,7.0,77.82332757780199,49.0,1,1,1,0
401858438,2026,1,true,Notre Dame,fbs,41,Wisconsin,fbs,13,-28,Notre Dame,-21.0,-1800,1000,-36.82175308982302,8.82175308982302,7.0,77.82332757780199,49.0,1,1,1,0
401856661,2026,1,true,Ole Miss,fbs,41,Louisville,fbs,38,-3,Ole Miss,-6.5,-270,220,-15.79382550933461,12.79382550933461,3.5,163.681971163301,12.25,1,1,0,0
401856661,2026,1,true,Ole Miss,fbs,41,Louisville,fbs,38,-3,Ole Miss,-6.5,,,-15.79382550933461,12.79382550933461,3.5,163.681971163301,12.25,1,1,0,0
